Risk ID,Title,Level,Category,Owner,Assessor,Inherent Risk,Inherent Trend,Controls,Effectiveness,Test Results,Residual Risk,Residual Trend,Status,Last Assessed
R-001,Process Failure - Event 1,Level 3,Operational,Mike Davis,External Auditor,"[35, Medium]",↓Decreasing,CTRL-002: Process Failure Control,Ineffective,Pending,"[35, Medium]",↓Decreasing,Sent for Assessment,12/12/2025
R-002,Process Failure - Event 2,Level 3,Operational,Lisa Martinez,Compliance Team,"[35, Medium]",→Stable,CTRL-003: Process Failure Control,Partially Effective,Fail,"[35, Medium]",↓Decreasing,Pending Approval,12/21/2025
R-003,Process Failure - Event 3,Level 3,Operational,Alex Turner,Compliance Team,"[48, High]",→Stable,CTRL-004: Process Failure Control,Ineffective,Pending,"[35, Medium]",↑Increasing,Sent for Assessment,01/12/2026
R-004,Process Failure - Event 4,Level 2,Operational,Maria Garcia,External Auditor,"[18, Medium]",↑Increasing,CTRL-005: Process Failure Control,Partially Effective,Not Tested,"[8, Low]",↓Decreasing,Pending Approval,12/08/2025
R-005,Process Failure - Event 5,Level 3,Operational,John Smith,Internal Audit,"[24, Medium]",↑Increasing,CTRL-006: Process Failure Control,Design Effective,Pending,"[24, Medium]",↓Decreasing,Sent for Assessment,02/05/2026
R-006,Process Failure - Event 6,Level 3,Operational,Lisa Martinez,External Auditor,"[35, Medium]",↓Decreasing,CTRL-007: Process Failure Control,Ineffective,Pending,"[8, Low]",↑Increasing,Completed,12/20/2025
R-007,Process Failure - Event 7,Level 3,Operational,Mike Davis,External Auditor,"[24, Medium]",→Stable,CTRL-008: Process Failure Control,Ineffective,Fail,"[24, Medium]",→Stable,Pending Approval,12/21/2025
R-008,Human Error - Event 8,Level 1,Operational,Mike Davis,Risk Team A,"[18, Medium]",↓Decreasing,CTRL-009: Human Error Control,Partially Effective,Not Tested,"[18, Medium]",↓Decreasing,Review & Challenge,01/23/2026
R-009,Human Error - Event 9,Level 3,Operational,David Wilson,Compliance Team,"[18, Medium]",→Stable,CTRL-010: Human Error Control,Partially Effective,Pending,"[8, Low]",↓Decreasing,Pending Approval,01/26/2026
R-010,Human Error - Event 10,Level 2,Operational,Lisa Martinez,Compliance Team,"[18, Medium]",→Stable,CTRL-011: Human Error Control,Partially Effective,Pass,"[18, Medium]",↑Increasing,Pending Approval,12/08/2025
R-011,Human Error - Event 11,Level 2,Operational,John Smith,External Auditor,"[24, Medium]",↓Decreasing,CTRL-012: Human Error Control,Design Effective,Pass,"[35, Medium]",→Stable,Sent for Assessment,01/11/2026
R-012,Human Error - Event 12,Level 2,Operational,Emily Chen,Internal Audit,"[18, Medium]",↓Decreasing,CTRL-013: Human Error Control,Design Effective,Pass,"[8, Low]",↑Increasing,Sent for Assessment,12/08/2025
R-013,Human Error - Event 13,Level 3,Operational,Robert Chen,Internal Audit,"[24, Medium]",↓Decreasing,CTRL-014: Human Error Control,Partially Effective,Not Tested,"[24, Medium]",↓Decreasing,Sent for Assessment,01/19/2026
R-014,Human Error - Event 14,Level 3,Operational,Nina Patel,Internal Audit,"[18, Medium]",↓Decreasing,CTRL-015: Human Error Control,Partially Effective,Fail,"[24, Medium]",↓Decreasing,Review & Challenge,12/08/2025
R-015,System Outage - Event 15,Level 3,Operational,John Smith,Internal Audit,"[18, Medium]",→Stable,CTRL-016: System Outage Control,Ineffective,Fail,"[18, Medium]",↓Decreasing,Review & Challenge,12/30/2025
R-016,System Outage - Event 16,Level 3,Operational,Nina Patel,Risk Team B,"[35, Medium]",→Stable,CTRL-017: System Outage Control,Partially Effective,Pending,"[18, Medium]",→Stable,Sent for Assessment,12/19/2025
R-017,System Outage - Event 17,Level 3,Operational,Emily Chen,Risk Team A,"[24, Medium]",↑Increasing,CTRL-018: System Outage Control,Ineffective,Not Tested,"[8, Low]",→Stable,Pending Approval,12/13/2025
R-018,System Outage - Event 18,Level 1,Operational,David Wilson,External Auditor,"[24, Medium]",↑Increasing,CTRL-019: System Outage Control,Partially Effective,Not Tested,"[8, Low]",↓Decreasing,Review & Challenge,12/15/2025
R-019,System Outage - Event 19,Level 1,Operational,Robert Chen,External Auditor,"[24, Medium]",→Stable,CTRL-020: System Outage Control,Design Effective,Not Tested,"[8, Low]",↓Decreasing,Review & Challenge,01/31/2026
R-020,System Outage - Event 20,Level 1,Operational,Alex Turner,Internal Audit,"[24, Medium]",→Stable,CTRL-021: System Outage Control,Design Effective,Pass,"[24, Medium]",↓Decreasing,Sent for Assessment,01/19/2026
R-021,System Outage - Event 21,Level 2,Operational,John Smith,External Auditor,"[24, Medium]",↑Increasing,CTRL-022: System Outage Control,Ineffective,Fail,"[8, Low]",→Stable,Completed,12/08/2025
R-022,Credit Risk - Event 22,Level 2,Financial,Lisa Martinez,Risk Team A,"[18, Medium]",↑Increasing,CTRL-023: Credit Risk Control,Design Effective,Pending,"[35, Medium]",→Stable,Completed,12/13/2025
R-023,Credit Risk - Event 23,Level 1,Financial,Robert Chen,Risk Team A,"[24, Medium]",→Stable,CTRL-024: Credit Risk Control,Partially Effective,Pending,"[24, Medium]",↑Increasing,Pending Approval,01/13/2026
R-024,Credit Risk - Event 24,Level 2,Financial,Lisa Martinez,Risk Team A,"[48, High]",↑Increasing,CTRL-025: Credit Risk Control,Partially Effective,Not Tested,"[18, Medium]",↓Decreasing,Completed,12/09/2025
R-025,Credit Risk - Event 25,Level 2,Financial,Emily Chen,External Auditor,"[35, Medium]",→Stable,CTRL-026: Credit Risk Control,Design Effective,Pending,"[8, Low]",↑Increasing,Sent for Assessment,12/08/2025
R-026,Credit Risk - Event 26,Level 2,Financial,Emily Chen,Internal Audit,"[56, High]",↑Increasing,CTRL-027: Credit Risk Control,Ineffective,Pass,"[24, Medium]",↓Decreasing,Review & Challenge,12/23/2025
R-027,Credit Risk - Event 27,Level 3,Financial,Alex Turner,Compliance Team,"[24, Medium]",↓Decreasing,CTRL-028: Credit Risk Control,Ineffective,Fail,"[8, Low]",↑Increasing,Pending Approval,12/26/2025
R-028,Credit Risk - Event 28,Level 1,Financial,David Wilson,Internal Audit,"[18, Medium]",↑Increasing,CTRL-029: Credit Risk Control,Partially Effective,Fail,"[35, Medium]",↑Increasing,Pending Approval,11/13/2025
R-029,Market Risk - Event 29,Level 3,Financial,Sarah Johnson,External Auditor,"[48, High]",→Stable,CTRL-030: Market Risk Control,Ineffective,Not Tested,"[18, Medium]",↑Increasing,Review & Challenge,12/22/2025
R-030,Market Risk - Event 30,Level 3,Financial,Sarah Johnson,Risk Team A,"[35, Medium]",↓Decreasing,CTRL-031: Market Risk Control,Partially Effective,Not Tested,"[35, Medium]",→Stable,Review & Challenge,02/04/2026
R-031,Market Risk - Event 31,Level 2,Financial,Maria Garcia,External Auditor,"[24, Medium]",↑Increasing,CTRL-032: Market Risk Control,Design Effective,Pass,"[35, Medium]",→Stable,Completed,12/18/2025
R-032,Market Risk - Event 32,Level 3,Financial,David Wilson,External Auditor,"[48, High]",↓Decreasing,CTRL-033: Market Risk Control,Partially Effective,Pass,"[8, Low]",↓Decreasing,Completed,01/09/2026
R-033,Market Risk - Event 33,Level 2,Financial,Nina Patel,Risk Team A,"[24, Medium]",↑Increasing,CTRL-034: Market Risk Control,Design Effective,Pass,"[18, Medium]",↓Decreasing,Sent for Assessment,12/08/2025
R-034,Market Risk - Event 34,Level 2,Financial,John Smith,Risk Team A,"[56, High]",↑Increasing,CTRL-035: Market Risk Control,Ineffective,Pending,"[24, Medium]",↑Increasing,Pending Approval,12/23/2025
R-035,Market Risk - Event 35,Level 3,Financial,Emily Chen,Compliance Team,"[48, High]",↓Decreasing,CTRL-036: Market Risk Control,Partially Effective,Pass,"[18, Medium]",→Stable,Completed,01/21/2026
R-036,Liquidity Risk - Event 36,Level 2,Financial,Sarah Johnson,Internal Audit,"[24, Medium]",↓Decreasing,CTRL-037: Liquidity Risk Control,Design Effective,Not Tested,"[35, Medium]",↑Increasing,Pending Approval,02/01/2026
R-037,Liquidity Risk - Event 37,Level 3,Financial,Mike Davis,Internal Audit,"[24, Medium]",↓Decreasing,CTRL-038: Liquidity Risk Control,Design Effective,Pass,"[8, Low]",→Stable,Pending Approval,01/24/2026
R-038,Liquidity Risk - Event 38,Level 1,Financial,Mike Davis,External Auditor,"[48, High]",↑Increasing,CTRL-039: Liquidity Risk Control,Partially Effective,Not Tested,"[24, Medium]",↓Decreasing,Review & Challenge,12/08/2025
R-039,Liquidity Risk - Event 39,Level 1,Financial,Lisa Martinez,Compliance Team,"[18, Medium]",→Stable,CTRL-040: Liquidity Risk Control,Design Effective,Pending,"[8, Low]",↑Increasing,Completed,12/08/2025
R-040,Liquidity Risk - Event 40,Level 2,Financial,Mike Davis,Internal Audit,"[18, Medium]",↑Increasing,CTRL-041: Liquidity Risk Control,Design Effective,Pending,"[24, Medium]",↓Decreasing,Review & Challenge,01/28/2026
R-041,Liquidity Risk - Event 41,Level 3,Financial,Nina Patel,Compliance Team,"[18, Medium]",↓Decreasing,CTRL-042: Liquidity Risk Control,Ineffective,Not Tested,"[8, Low]",→Stable,Sent for Assessment,12/08/2025
R-042,Liquidity Risk - Event 42,Level 2,Financial,Robert Chen,Internal Audit,"[24, Medium]",↓Decreasing,CTRL-043: Liquidity Risk Control,Ineffective,Pass,"[18, Medium]",→Stable,Review & Challenge,01/03/2026
R-043,Regulatory Breach - Event 43,Level 3,Compliance,Mike Davis,Risk Team A,"[18, Medium]",↓Decreasing,CTRL-044: Regulatory Breach Control,Partially Effective,Pending,"[18, Medium]",↑Increasing,Completed,01/22/2026
R-044,Regulatory Breach - Event 44,Level 2,Compliance,Maria Garcia,Risk Team B,"[56, High]",→Stable,CTRL-045: Regulatory Breach Control,Design Effective,Pass,"[24, Medium]",→Stable,Completed,11/19/2025
R-045,Regulatory Breach - Event 45,Level 1,Compliance,Emily Chen,Internal Audit,"[56, High]",↓Decreasing,CTRL-046: Regulatory Breach Control,Design Effective,Pass,"[35, Medium]",↑Increasing,Pending Approval,01/25/2026
R-046,Regulatory Breach - Event 46,Level 3,Compliance,Mike Davis,Risk Team A,"[35, Medium]",→Stable,CTRL-047: Regulatory Breach Control,Ineffective,Pass,"[24, Medium]",↓Decreasing,Sent for Assessment,11/15/2025
R-047,Regulatory Breach - Event 47,Level 1,Compliance,Alex Turner,External Auditor,"[24, Medium]",↑Increasing,CTRL-048: Regulatory Breach Control,Ineffective,Fail,"[35, Medium]",↑Increasing,Pending Approval,12/16/2025
R-048,Regulatory Breach - Event 48,Level 1,Compliance,Maria Garcia,Risk Team B,"[48, High]",↓Decreasing,CTRL-049: Regulatory Breach Control,Ineffective,Pass,"[18, Medium]",↓Decreasing,Pending Approval,01/01/2026
R-049,Regulatory Breach - Event 49,Level 1,Compliance,David Wilson,External Auditor,"[24, Medium]",↑Increasing,CTRL-050: Regulatory Breach Control,Partially Effective,Fail,"[8, Low]",↑Increasing,Pending Approval,12/08/2025
R-050,Policy Violation - Event 50,Level 2,Compliance,Alex Turner,External Auditor,"[24, Medium]",↓Decreasing,CTRL-051: Policy Violation Control,Design Effective,Not Tested,"[8, Low]",↑Increasing,Completed,12/30/2025
R-051,Policy Violation - Event 51,Level 2,Compliance,Alex Turner,External Auditor,"[24, Medium]",→Stable,CTRL-052: Policy Violation Control,Ineffective,Pending,"[18, Medium]",↓Decreasing,Pending Approval,12/08/2025
R-052,Policy Violation - Event 52,Level 3,Compliance,Mike Davis,Risk Team B,"[24, Medium]",→Stable,CTRL-053: Policy Violation Control,Ineffective,Pass,"[8, Low]",↓Decreasing,Review & Challenge,01/26/2026
R-053,Policy Violation - Event 53,Level 3,Compliance,John Smith,Risk Team B,"[48, High]",↓Decreasing,CTRL-054: Policy Violation Control,Ineffective,Not Tested,"[35, Medium]",↓Decreasing,Sent for Assessment,01/03/2026
R-054,Policy Violation - Event 54,Level 3,Compliance,John Smith,Risk Team B,"[48, High]",→Stable,CTRL-055: Policy Violation Control,Design Effective,Fail,"[24, Medium]",↑Increasing,Sent for Assessment,01/14/2026
R-055,Policy Violation - Event 55,Level 2,Compliance,Sarah Johnson,Compliance Team,"[24, Medium]",↓Decreasing,CTRL-056: Policy Violation Control,Partially Effective,Fail,"[35, Medium]",↓Decreasing,Review & Challenge,12/15/2025
R-056,Policy Violation - Event 56,Level 2,Compliance,Nina Patel,Risk Team B,"[35, Medium]",→Stable,CTRL-057: Policy Violation Control,Design Effective,Fail,"[35, Medium]",→Stable,Review & Challenge,01/07/2026
R-057,Legal Exposure - Event 57,Level 1,Compliance,Robert Chen,Risk Team A,"[35, Medium]",↑Increasing,CTRL-058: Legal Exposure Control,Ineffective,Pass,"[8, Low]",→Stable,Pending Approval,12/26/2025
R-058,Legal Exposure - Event 58,Level 1,Compliance,Maria Garcia,Internal Audit,"[18, Medium]",→Stable,CTRL-059: Legal Exposure Control,Design Effective,Not Tested,"[24, Medium]",↑Increasing,Pending Approval,01/13/2026
R-059,Legal Exposure - Event 59,Level 3,Compliance,Maria Garcia,Risk Team B,"[18, Medium]",→Stable,CTRL-060: Legal Exposure Control,Partially Effective,Pending,"[8, Low]",→Stable,Pending Approval,01/15/2026
R-060,Legal Exposure - Event 60,Level 1,Compliance,David Wilson,Risk Team A,"[24, Medium]",→Stable,CTRL-061: Legal Exposure Control,Partially Effective,Not Tested,"[8, Low]",↑Increasing,Sent for Assessment,12/21/2025
R-061,Legal Exposure - Event 61,Level 1,Compliance,Maria Garcia,Risk Team B,"[56, High]",↓Decreasing,CTRL-062: Legal Exposure Control,Design Effective,Fail,"[8, Low]",↓Decreasing,Pending Approval,12/08/2025
R-062,Legal Exposure - Event 62,Level 3,Compliance,Maria Garcia,External Auditor,"[24, Medium]",↓Decreasing,CTRL-063: Legal Exposure Control,Design Effective,Pass,"[8, Low]",↑Increasing,Pending Approval,01/19/2026
R-063,Legal Exposure - Event 63,Level 3,Compliance,Maria Garcia,Compliance Team,"[56, High]",↑Increasing,CTRL-064: Legal Exposure Control,Design Effective,Fail,"[35, Medium]",↓Decreasing,Pending Approval,12/11/2025
R-064,Data Breach - Event 64,Level 2,Technology,John Smith,Risk Team B,"[18, Medium]",↓Decreasing,CTRL-065: Data Breach Control,Design Effective,Pass,"[24, Medium]",↑Increasing,Sent for Assessment,12/08/2025
R-065,Data Breach - Event 65,Level 2,Technology,Maria Garcia,External Auditor,"[48, High]",→Stable,CTRL-066: Data Breach Control,Partially Effective,Pass,"[8, Low]",↓Decreasing,Sent for Assessment,01/19/2026
R-066,Data Breach - Event 66,Level 1,Technology,Emily Chen,Compliance Team,"[35, Medium]",↑Increasing,CTRL-067: Data Breach Control,Design Effective,Pending,"[35, Medium]",↓Decreasing,Pending Approval,01/09/2026
R-067,Data Breach - Event 67,Level 3,Technology,Sarah Johnson,External Auditor,"[18, Medium]",↓Decreasing,CTRL-068: Data Breach Control,Design Effective,Pending,"[18, Medium]",↓Decreasing,Review & Challenge,01/13/2026
R-068,Data Breach - Event 68,Level 2,Technology,Mike Davis,Compliance Team,"[35, Medium]",↓Decreasing,CTRL-069: Data Breach Control,Partially Effective,Not Tested,"[18, Medium]",↑Increasing,Review & Challenge,01/25/2026
R-069,Data Breach - Event 69,Level 3,Technology,David Wilson,Compliance Team,"[35, Medium]",↓Decreasing,CTRL-070: Data Breach Control,Ineffective,Not Tested,"[8, Low]",→Stable,Completed,01/27/2026
R-070,Data Breach - Event 70,Level 2,Technology,Emily Chen,Risk Team B,"[18, Medium]",↑Increasing,CTRL-071: Data Breach Control,Partially Effective,Pending,"[35, Medium]",↑Increasing,Completed,11/20/2025
R-071,Cyber Attack - Event 71,Level 1,Technology,Alex Turner,Compliance Team,"[48, High]",↑Increasing,CTRL-072: Cyber Attack Control,Design Effective,Pass,"[18, Medium]",↑Increasing,Completed,12/17/2025
R-072,Cyber Attack - Event 72,Level 3,Technology,Emily Chen,Internal Audit,"[18, Medium]",↓Decreasing,CTRL-073: Cyber Attack Control,Design Effective,Not Tested,"[35, Medium]",→Stable,Completed,01/15/2026
R-073,Cyber Attack - Event 73,Level 2,Technology,Lisa Martinez,Risk Team A,"[24, Medium]",↑Increasing,CTRL-074: Cyber Attack Control,Partially Effective,Fail,"[35, Medium]",→Stable,Completed,12/17/2025
R-074,Cyber Attack - Event 74,Level 1,Technology,Nina Patel,Internal Audit,"[35, Medium]",→Stable,CTRL-075: Cyber Attack Control,Partially Effective,Not Tested,"[35, Medium]",↓Decreasing,Pending Approval,01/10/2026
R-075,Cyber Attack - Event 75,Level 1,Technology,Alex Turner,Compliance Team,"[24, Medium]",↑Increasing,CTRL-076: Cyber Attack Control,Design Effective,Fail,"[18, Medium]",→Stable,Completed,12/14/2025
R-076,Cyber Attack - Event 76,Level 3,Technology,Robert Chen,External Auditor,"[35, Medium]",↑Increasing,CTRL-077: Cyber Attack Control,Ineffective,Not Tested,"[24, Medium]",→Stable,Pending Approval,01/30/2026
R-077,Cyber Attack - Event 77,Level 2,Technology,David Wilson,Risk Team A,"[18, Medium]",→Stable,CTRL-078: Cyber Attack Control,Partially Effective,Pending,"[8, Low]",↑Increasing,Sent for Assessment,01/22/2026
R-078,System Vulnerability - Event 78,Level 2,Technology,Emily Chen,Compliance Team,"[18, Medium]",↓Decreasing,CTRL-079: System Vulnerability Control,Partially Effective,Fail,"[18, Medium]",↑Increasing,Completed,11/20/2025
R-079,System Vulnerability - Event 79,Level 2,Technology,Mike Davis,External Auditor,"[56, High]",↓Decreasing,CTRL-080: System Vulnerability Control,Partially Effective,Fail,"[35, Medium]",→Stable,Review & Challenge,01/12/2026
R-080,System Vulnerability - Event 80,Level 3,Technology,Robert Chen,Compliance Team,"[48, High]",→Stable,CTRL-081: System Vulnerability Control,Ineffective,Pending,"[18, Medium]",→Stable,Pending Approval,01/03/2026
R-081,System Vulnerability - Event 81,Level 1,Technology,Alex Turner,Compliance Team,"[18, Medium]",↓Decreasing,CTRL-082: System Vulnerability Control,Design Effective,Pending,"[18, Medium]",↑Increasing,Sent for Assessment,01/25/2026
R-082,System Vulnerability - Event 82,Level 1,Technology,Mike Davis,Risk Team A,"[56, High]",↓Decreasing,CTRL-083: System Vulnerability Control,Ineffective,Pass,"[35, Medium]",↓Decreasing,Completed,01/01/2026
R-083,System Vulnerability - Event 83,Level 3,Technology,Robert Chen,Compliance Team,"[18, Medium]",↑Increasing,CTRL-084: System Vulnerability Control,Design Effective,Not Tested,"[24, Medium]",↓Decreasing,Sent for Assessment,12/08/2025
R-084,System Vulnerability - Event 84,Level 3,Technology,Emily Chen,Compliance Team,"[18, Medium]",↓Decreasing,CTRL-085: System Vulnerability Control,Partially Effective,Fail,"[24, Medium]",↓Decreasing,Sent for Assessment,12/08/2025
R-085,Vendor Failure - Event 85,Level 1,Strategic,Alex Turner,External Auditor,"[18, Medium]",↓Decreasing,CTRL-086: Vendor Failure Control,Partially Effective,Fail,"[35, Medium]",→Stable,Completed,12/08/2025
R-086,Vendor Failure - Event 86,Level 3,Strategic,David Wilson,Risk Team B,"[56, High]",↓Decreasing,CTRL-087: Vendor Failure Control,Partially Effective,Pending,"[8, Low]",↓Decreasing,Review & Challenge,12/08/2025
R-087,Vendor Failure - Event 87,Level 2,Strategic,Alex Turner,Compliance Team,"[48, High]",↑Increasing,CTRL-088: Vendor Failure Control,Design Effective,Not Tested,"[35, Medium]",→Stable,Pending Approval,01/17/2026
R-088,Vendor Failure - Event 88,Level 3,Strategic,David Wilson,Compliance Team,"[35, Medium]",→Stable,CTRL-089: Vendor Failure Control,Partially Effective,Pass,"[35, Medium]",↓Decreasing,Review & Challenge,12/08/2025
R-089,Vendor Failure - Event 89,Level 1,Strategic,Mike Davis,External Auditor,"[24, Medium]",↑Increasing,CTRL-090: Vendor Failure Control,Design Effective,Pass,"[18, Medium]",↓Decreasing,Pending Approval,01/29/2026
R-090,Vendor Failure - Event 90,Level 3,Strategic,Robert Chen,Compliance Team,"[18, Medium]",↑Increasing,CTRL-091: Vendor Failure Control,Partially Effective,Not Tested,"[35, Medium]",→Stable,Completed,12/08/2025
R-091,Vendor Failure - Event 91,Level 2,Strategic,Maria Garcia,Compliance Team,"[35, Medium]",→Stable,CTRL-092: Vendor Failure Control,Ineffective,Fail,"[35, Medium]",↑Increasing,Review & Challenge,01/05/2026
R-092,Market Disruption - Event 92,Level 2,Strategic,Sarah Johnson,Internal Audit,"[56, High]",↓Decreasing,CTRL-093: Market Disruption Control,Partially Effective,Fail,"[18, Medium]",↑Increasing,Review & Challenge,01/18/2026
R-093,Market Disruption - Event 93,Level 1,Strategic,Mike Davis,Risk Team A,"[35, Medium]",→Stable,CTRL-094: Market Disruption Control,Partially Effective,Pending,"[8, Low]",↑Increasing,Pending Approval,12/08/2025
R-094,Market Disruption - Event 94,Level 3,Strategic,Emily Chen,Risk Team A,"[18, Medium]",↑Increasing,CTRL-095: Market Disruption Control,Partially Effective,Pass,"[35, Medium]",↑Increasing,Completed,12/24/2025
R-095,Market Disruption - Event 95,Level 2,Strategic,Sarah Johnson,Compliance Team,"[56, High]",↓Decreasing,CTRL-096: Market Disruption Control,Ineffective,Pass,"[8, Low]",↑Increasing,Pending Approval,01/31/2026
R-096,Market Disruption - Event 96,Level 2,Strategic,Maria Garcia,Risk Team A,"[48, High]",→Stable,CTRL-097: Market Disruption Control,Partially Effective,Not Tested,"[24, Medium]",↑Increasing,Sent for Assessment,12/08/2025
R-097,Market Disruption - Event 97,Level 2,Strategic,Emily Chen,Compliance Team,"[48, High]",↑Increasing,CTRL-098: Market Disruption Control,Design Effective,Fail,"[35, Medium]",→Stable,Pending Approval,12/08/2025
R-098,Market Disruption - Event 98,Level 2,Strategic,Lisa Martinez,Internal Audit,"[48, High]",↑Increasing,CTRL-099: Market Disruption Control,Ineffective,Fail,"[24, Medium]",↓Decreasing,Review & Challenge,12/25/2025
R-099,Reputation Damage - Event 99,Level 1,Strategic,Robert Chen,Internal Audit,"[35, Medium]",↓Decreasing,CTRL-100: Reputation Damage Control,Partially Effective,Pending,"[24, Medium]",→Stable,Completed,12/08/2025
R-100,Reputation Damage - Event 100,Level 3,Strategic,Nina Patel,Internal Audit,"[56, High]",↑Increasing,CTRL-101: Reputation Damage Control,Design Effective,Pass,"[24, Medium]",↑Increasing,Sent for Assessment,12/08/2025
R-101,Reputation Damage - Event 101,Level 2,Strategic,Emily Chen,Risk Team B,"[35, Medium]",↓Decreasing,CTRL-102: Reputation Damage Control,Design Effective,Not Tested,"[18, Medium]",→Stable,Pending Approval,01/02/2026
R-102,Reputation Damage - Event 102,Level 1,Strategic,Nina Patel,Compliance Team,"[24, Medium]",→Stable,CTRL-103: Reputation Damage Control,Partially Effective,Pass,"[8, Low]",↓Decreasing,Completed,01/06/2026
R-103,Reputation Damage - Event 103,Level 3,Strategic,Lisa Martinez,Compliance Team,"[35, Medium]",↓Decreasing,CTRL-104: Reputation Damage Control,Ineffective,Pass,"[24, Medium]",↑Increasing,Review & Challenge,12/27/2025
R-104,Reputation Damage - Event 104,Level 3,Strategic,Robert Chen,Risk Team A,"[24, Medium]",↑Increasing,CTRL-105: Reputation Damage Control,Ineffective,Not Tested,"[24, Medium]",↓Decreasing,Review & Challenge,12/08/2025
R-105,Reputation Damage - Event 105,Level 1,Strategic,Robert Chen,Risk Team B,"[56, High]",→Stable,CTRL-106: Reputation Damage Control,Partially Effective,Fail,"[18, Medium]",↓Decreasing,Pending Approval,12/08/2025
